,FeatureIdx,Count_Fibroblast(EdUScreen),Count_EdUPositive(EdUScreen),RatioEduPositive(EdUScreen),Mean_Mean_Cytoplasm_Intensity_IntegratedIntensity_CorrSMA,Mean_Macrophage_count,Nuclei_Count(aSMA),Cell_Count(aSMA)
0,4,9.470588235294116,5.294117647058823,0.5715940921823275,231.40843817265386,19.0,11.0,11.714285714285715
1,14,9.1,5.75,0.7416669441669442,182.6135508924388,20.714285714285715,9.0,9.470588235294116
2,16,9.166666666666666,5.333333333333333,0.6661498722773234,176.5352023475575,19.166666666666668,8.5,9.055555555555557
3,17,9.0,5.5,0.7600949975949975,177.22430476947713,20.571428571428573,8.0,8.944444444444445
4,18,9.263157894736842,6.2631578947368425,0.7315890250100776,166.64823087992562,25.285714285714285,11.0,10.0
5,19,9.95,6.7,0.7542752100840336,172.67437955411614,25.75,11.0,11.052631578947368
6,20,9.31578947368421,4.368421052631579,0.5096491228070176,191.129345954138,21.0,9.0,8.526315789473685
7,21,9.3,5.85,0.6408462615815558,211.3636724076001,25.5,7.0,7.684210526315789
8,22,8.9,5.25,0.7152239427239426,201.81176612417485,27.5,7.0,7.894736842105262
9,23,10.666666666666666,5.722222222222222,0.5944163679457798,227.38756218060226,22.375,6.0,6.888888888888888
10,24,9.722222222222221,5.388888888888888,0.5852470060803394,192.60300424401902,25.875,8.0,8.222222222222221
11,25,9.894736842105264,6.2631578947368425,0.709633246010955,165.5087679710121,31.25,9.0,8.684210526315791
12,26,11.55,5.85,0.5466342685092686,193.56492516214269,25.625,7.0,7.5
13,27,9.722222222222221,6.388888888888888,0.7633007262393225,187.9167768364093,26.57142857142857,9.0,7.578947368421053
14,28,10.0,6.105263157894738,0.6318422805264909,179.62919768649536,25.0,9.5,10.35
15,29,11.421052631578947,4.7368421052631575,0.4444456318580484,208.27609615251674,22.125,7.0,7.0555555555555545
16,30,11.5,5.7,0.5508209274385745,220.7586974552415,27.33333333333333,7.0,6.894736842105262
17,31,10.421052631578947,5.2631578947368425,0.5557131465026203,175.52901001916786,25.75,7.0,8.2
18,32,9.470588235294116,7.705882352941178,0.9824664714370596,219.87718853781132,20.75,6.5,7.05
19,44,9.578947368421053,5.368421052631579,0.6806230147561416,204.66066897985687,25.0,10.0,11.0
20,48,9.789473684210526,4.7368421052631575,0.5053175668500746,199.8502775160804,19.0,10.0,10.0
21,49,10.1,6.15,0.6585481920040743,179.85775979031527,18.666666666666668,9.0,9.0
22,50,8.2,4.9,0.6334956709956711,161.26997095857715,20.0,10.0,9.333333333333334
23,51,7.578947368421053,4.7368421052631575,0.6529486595276068,180.7186159182204,23.0,10.0,9.105263157894736
24,52,9.95,5.2,0.5408261183261185,160.41745864658805,25.625,9.0,9.944444444444443
